RegisterID,UserID,CourseID,RegisterStatus,PaymentID
1,2,2,Pending,1
2,5,12,Pending,2
3,6,18,Done,3
4,7,21,Pending,4
5,8,23,Pending,5
6,9,3,Pending,6
7,10,3,Pending,7
8,11,3,Pending,8
9,12,3,Pending,9
10,14,3,Pending,
11,15,3,Pending,11
12,16,3,Pending,12
13,17,3,Done,13
14,18,3,Pending,
15,19,3,Pending,15
16,21,3,Pending,16
17,23,3,Pending,17
18,24,3,Pending,
19,25,15,Pending,19
20,27,15,Pending,20
21,28,15,Pending,21
22,29,15,Pending,22
23,30,15,Pending,
24,31,15,Pending,24
25,33,15,Pending,25
26,34,15,Pending,26
27,35,15,Pending,27
28,36,15,Pending,28
29,38,15,Pending,29
30,39,15,Pending,30
31,40,15,Pending,31
32,41,15,Pending,32
33,42,22,Pending,33
34,43,22,Pending,34
35,44,22,Pending,35
36,45,22,Pending,36
37,46,22,Pending,37
38,47,22,Pending,38
39,48,22,Pending,39
40,49,22,Pending,40
41,50,22,Pending,41
42,2,22,Pending,1
43,5,22,Pending,2
45,7,22,Pending,4
46,8,22,Pending,5
